[15.1.2021 | 17:3:14] [Adan]: .bal 

[15.1.2021 | 17:3:20] [Adan]: .dep all 

[15.1.2021 | 17:3:26] [Adan]: .shop 2 

[15.1.2021 | 22:4:9] [Sverige AKA Damian.]: Nie działa oznaczanie u mnie :( 

[15.1.2021 | 22:16:11] [Cichy]: Musisz oznaczyć. 

[15.1.2021 | 22:16:20] [Cichy]: Dobrze wpisz swoją nazwę użytkownika. 

[16.1.2021 | 14:20:26] [Shibe]: /przetłumacz Holla 

[16.1.2021 | 14:21:20] [Shibe]: XD 

[16.1.2021 | 14:21:32] [Shibe]: /przetlmucz Pl holla 

[16.1.2021 | 14:21:33] [Cichy]: Holenderski? 

[16.1.2021 | 14:21:42] [Shibe]: Hiszpański 

[16.1.2021 | 14:21:50] [Shibe]: Nie wiem jak jest 

[16.1.2021 | 14:22:39] [Shibe]: /przetłumacz es Czesc 

[16.1.2021 | 14:23:4] [Cichy]: Może za mała fraza, dlatego nie tłumaczy. 

[18.1.2021 | 23:15:6] [Asasin22]: ?ban <@!800839645368811520> §3.4. Zakaz posiadania multikont i użytkowania z nich na serwerze. 

[18.1.2021 | 23:15:11] [NoOne]: Nie oznaczysz go tu 

[18.1.2021 | 23:15:18] [Invejosa]: Zly prefix 

[18.1.2021 | 23:15:22] [Invejosa]: Oznaczy 

[18.1.2021 | 23:15:23] [Asasin22]: nie ten prefix 

[21.1.2021 | 13:51:4] [💚💙 кιηια 💚💙]: .money 

[21.1.2021 | 13:51:34] [NoOne]: .bal 

[22.1.2021 | 12:18:43] [Shibe]: <@!749016976793272360> 

[23.1.2021 | 21:23:17] [Cichy]: .add-money <@!562341280726908930> 50000 

[23.1.2021 | 21:52:58] [Cichy]: /helpp 

[28.1.2021 | 13:53:53] [Invejosa]: +help 

[28.1.2021 | 13:54:9] [Invejosa]: 3x Vip 2x Svip 1x Mvip i jeszcze 2x 2000 

[28.1.2021 | 13:54:14] [Invejosa]: +gstart 

[28.1.2021 | 13:54:24] [Invejosa]: 10h 

[28.1.2021 | 13:54:48] [Invejosa]: 3x Vip, 2x Svip, 1x Mvip, + 2x 2000 <:Rubin:764543629468499968> 

[28.1.2021 | 13:55:12] [Invejosa]: 6 

[28.1.2021 | 13:55:27] [Invejosa]: Źle zrobiłam ;-; 

[28.1.2021 | 13:55:30] [Shibe]: 8? 

[28.1.2021 | 13:55:31] [Invejosa]: d 

[28.1.2021 | 13:55:31] [Invejosa]: d 

[28.1.2021 | 13:55:31] [Invejosa]: d 

[28.1.2021 | 13:55:33] [Invejosa]: d 

[28.1.2021 | 13:55:36] [Invejosa]: +gstart 

[28.1.2021 | 13:55:42] [Invejosa]: 10h 

[28.1.2021 | 13:55:48] [Invejosa]: 3x Vip, 2x Svip, 1x Mvip, + 2x 2000 <:Rubin:764543629468499968> 

[28.1.2021 | 13:55:51] [Invejosa]: 8 

[28.1.2021 | 13:55:54] [Invejosa]: <#756257171217449030> 

[28.1.2021 | 13:56:4] [Invejosa]: 30 

[28.1.2021 | 13:56:11] [Invejosa]: None 

[28.1.2021 | 13:56:15] [Invejosa]: None 

[28.1.2021 | 13:56:19] [Invejosa]: <@&730531439409365079> 

