[25.1.2021 | 22:15:56] [👑 _PRYMEK_ 👑]: Ct? 

[25.1.2021 | 22:16:2] [👑 _PRYMEK_ 👑]: U was administracja 

[25.1.2021 | 22:16:3] [👑 _PRYMEK_ 👑]: ? 

[26.1.2021 | 9:28:0] [👑 _PRYMEK_ 👑]: @everyone 

[26.1.2021 | 9:28:7] [👑 _PRYMEK_ 👑]: Sprawdźcie ostatnie logi 

[26.1.2021 | 9:28:12] [👑 _PRYMEK_ 👑]: I zobaczcie 

[26.1.2021 | 9:28:15] [👑 _PRYMEK_ 👑]: Co ten typ napisał 

[26.1.2021 | 9:28:21] [👑 _PRYMEK_ 👑]: Dla mnie trochę podejrzane 

[26.1.2021 | 9:28:26] [❤_Nezuko Kamado_❤]: ok 

[26.1.2021 | 9:28:42] [👑 _PRYMEK_ 👑]: Ten typ godzinę temu wbił na serwa 

[26.1.2021 | 9:29:12] [👑 _PRYMEK_ 👑]: @everyone 

[26.1.2021 | 9:29:27] [👑 _PRYMEK_ 👑]: Jak Myślicie co w takiej sytuacji. Zrobić? 

[26.1.2021 | 9:29:36] [❤_Nezuko Kamado_❤]: idk 

[26.1.2021 | 9:29:42] [Kokichi✔]: nie wiem zapytaj na pv go może 

[26.1.2021 | 9:30:4] [👑 _PRYMEK_ 👑]: Wy go zapytajcie 

[26.1.2021 | 9:30:14] [👑 _PRYMEK_ 👑]: On mi prosto w twarz nie powie niczego 

[26.1.2021 | 9:30:18] [👑 _PRYMEK_ 👑]: <@695590947630743635> 

[26.1.2021 | 9:30:19] [👑 _PRYMEK_ 👑]: <@581373577404874752> 

[26.1.2021 | 9:30:22] [👑 _PRYMEK_ 👑]: <@790508375019356160> 

[26.1.2021 | 9:30:27] [👑 _PRYMEK_ 👑]: Kto się z was pyta? 

[26.1.2021 | 9:30:45] [bart.bruk]: ja mogę 

[26.1.2021 | 9:30:56] [👑 _PRYMEK_ 👑]: Ok ale dyskretnie ok? 

[26.1.2021 | 9:31:0] [👑 _PRYMEK_ 👑]: Nie zdradzaj się 

[26.1.2021 | 9:31:2] [👑 _PRYMEK_ 👑]: Od razu 

[26.1.2021 | 9:31:4] [👑 _PRYMEK_ 👑]: I wyślij ss 

[26.1.2021 | 9:31:5] [👑 _PRYMEK_ 👑]: Tutaj 

[26.1.2021 | 9:31:10] [👑 _PRYMEK_ 👑]: Kk coś napiszę ok? 

[26.1.2021 | 9:31:38] [👑 _PRYMEK_ 👑]: I tylko jedna osoba 

[26.1.2021 | 9:31:50] [❤_Nezuko Kamado_❤]: może od rekina 

[26.1.2021 | 9:32:0] [👑 _PRYMEK_ 👑]: Nwm 

[26.1.2021 | 9:32:8] [👑 _PRYMEK_ 👑]: Sprawdzę wspólnych znajomych 

[26.1.2021 | 9:32:18] [❤_Nezuko Kamado_❤]: ok 

[26.1.2021 | 9:32:34] [👑 _PRYMEK_ 👑]: To od was <@581373577404874752> i <@790508375019356160> 

[26.1.2021 | 9:32:40] [👑 _PRYMEK_ 👑]: Bo ona na sznuglerski 

[26.1.2021 | 9:32:41] [👑 _PRYMEK_ 👑]: Jest 

[26.1.2021 | 9:33:14] [❤_Nezuko Kamado_❤]: czyli możliwe że ona hackowała 

[26.1.2021 | 9:34:9] [👑 _PRYMEK_ 👑]: Nwm 

[26.1.2021 | 9:34:24] [👑 _PRYMEK_ 👑]: <@790508375019356160> 

[26.1.2021 | 9:34:25] [👑 _PRYMEK_ 👑]: I co 

[26.1.2021 | 9:34:27] [👑 _PRYMEK_ 👑]: ? 

