[15.1.2021 | 18:21:15] [LL Soydere]: --ship gramy_w-dont_starve 
[18.1.2021 | 12:54:48] [Nati♡]: --ship <@510559015571554314>  <@373804973458456587> 

[18.1.2021 | 12:54:51] [Mistrzowski]: Ale oro 

[18.1.2021 | 12:54:55] [Nati♡]: Mmm 

[18.1.2021 | 12:55:2] [wikulka⭐]: No no no 

[18.1.2021 | 12:55:11] [Nati♡]: --ship <@313667107298738187>  <@313667107298738187> 

[18.1.2021 | 12:55:18] [Nati♡]: XDDFFCDCCDDC 

[18.1.2021 | 12:55:19] [wikulka⭐]: BSJAJAHA 

[18.1.2021 | 12:55:38] [wikulka⭐]: --ship <@510559015571554314> <@510559015571554314> 

[18.1.2021 | 12:55:38] [Mistrzowski]: --ship <@!373804973458456587> Szachy 

[18.1.2021 | 12:55:54] [wikulka⭐]: Czemu tak malo 

[18.1.2021 | 12:55:59] [Nati♡]: --ship <@429713574919929866> <@429713574919929866> 

[18.1.2021 | 12:56:1] [Pirol]: XD 

[18.1.2021 | 12:56:24] [Mistrzowski]: <@!373804973458456587> co powiesz na partyjkę w szachy? 

[18.1.2021 | 12:56:28] [wikulka⭐]: --ship parówa 

[18.1.2021 | 12:56:31] [Pirol]: Teraz lipa 

[18.1.2021 | 12:56:32] [Nati♡]: XDDDDDD 

[18.1.2021 | 12:56:34] [Pirol]: Panie bartlomieju 

[18.1.2021 | 12:56:35] [wikulka⭐]: no i klasa 

[18.1.2021 | 12:56:42] [Nati♡]: Pog 

[18.1.2021 | 12:56:44] [Mistrzowski]: Ja ic kurwa dam bartłomieja 

[18.1.2021 | 12:56:47] [Pirol]: --ship makowiec <@491223111359004682> 

[18.1.2021 | 12:56:50] [Mistrzowski]: to brzmi jak jakis pedał 

[18.1.2021 | 12:56:58] [Nati♡]: --ship maczek 

[18.1.2021 | 12:56:58] [Mistrzowski]: Do cb wsm pasuje 

[18.1.2021 | 12:56:59] [Pirol]: Czyli tak jak ty 

[18.1.2021 | 12:57:3] [Nati♡]: :((( 

[18.1.2021 | 12:57:9] [Pirol]: Palo 

[18.1.2021 | 12:57:11] [wikulka⭐]: --ship jajco 

[18.1.2021 | 12:57:12] [Pirol]: Policyjna 

[18.1.2021 | 12:57:18] [Pirol]: Konfidencka 

[18.1.2021 | 12:57:30] [Nati♡]: --ship matematyka 

[18.1.2021 | 12:57:38] [Nati♡]: To na minusie powinno być 

[18.1.2021 | 12:57:50] [Mistrzowski]: <@!373804973458456587> Ale wiesz ze to ci dało cb ship ze mna 

[18.1.2021 | 12:57:53] [Mistrzowski]: a nie makowcem 

[18.1.2021 | 12:57:56] [wikulka⭐]: --ship biologia 

[18.1.2021 | 12:58:5] [wikulka⭐]: no i to sie zgadza 

[18.1.2021 | 12:58:16] [Pirol]: Wklej pizde 

[18.1.2021 | 12:58:21] [Mistrzowski]: XD 

[18.1.2021 | 12:58:22] [Pirol]: Ruro pierdolona 

[18.1.2021 | 12:58:24] [Mistrzowski]: Czekaj 

[18.1.2021 | 12:58:25] [Nati♡]: --ship spanko 

[18.1.2021 | 12:58:32] [Pirol]: --ship <@491223111359004682> makowiec 

[18.1.2021 | 12:58:36] [Mistrzowski]: juz biorę twoje zdjęcie 

[18.1.2021 | 12:58:37] [Nati♡]: XDDDD 

[18.1.2021 | 12:58:37] [Pirol]: Co do chuja 

[18.1.2021 | 12:58:38] [Pirol]: Pana 

[18.1.2021 | 12:58:45] [Mistrzowski]: . 

[18.1.2021 | 12:58:59] [Pirol]: Zabije Cię we snie 

[18.1.2021 | 12:59:1] [Pirol]: Kiedyś 

[18.1.2021 | 12:59:5] [Pirol]: Miej tego świadomość 

[18.1.2021 | 12:59:9] [Mistrzowski]: no dobra 

[18.1.2021 | 12:59:15] [Nati♡]: Groźnie 

[18.1.2021 | 12:59:17] [Pirol]: --ship makowiec 

[18.1.2021 | 12:59:35] [rakiet]: --ship zmienilem_sie_po_powrocie_z_krakowa 

[18.1.2021 | 12:59:37] [rakiet]: es 

[18.1.2021 | 12:59:47] [rakiet]: --ship gremi_pierdoli_glupoty 

[18.1.2021 | 13:0:12] [Pirol]: --ship gremi kutaskolegi 

[18.1.2021 | 13:0:22] [rakiet]: --ship ola_nie_ma_na_mnie_wplywu 

[18.1.2021 | 13:12:14] [rakiet]: --ship muhai_zepsula_ole_anime_bajkami 

[18.1.2021 | 13:13:15] [rakiet]: --ship lody_jak_dawniej 

[18.1.2021 | 13:13:25] [rakiet]: --ship przesada 

[18.1.2021 | 13:13:41] [rakiet]: --ship w_krakowie_wieje_chujem 

[18.1.2021 | 13:14:1] [rakiet]: --ship w_ddz_wieje_chujem 

[18.1.2021 | 13:14:4] [rakiet]: es 

[18.1.2021 | 13:49:41] [rakiet]: --ship przy_oli_nie_staje 

[18.1.2021 | 14:3:11] [Mefedroniarz from przysieki]: --ship <@!321734038694133761> 

[18.1.2021 | 15:24:23] [Bartuzel]: --ship boczek_odbija_mi_huberta 

[18.1.2021 | 15:25:15] [Bartuzel]: --ship hubert_woli_boczka 

[18.1.2021 | 15:52:11] [rakiet]: --ship ola_wiesz_ze_jest_inaczej 

