[19.1.2021 | 20:39:56] [🥵Lidzia❤]: —battle <@564061194907025448> & <@689129555549618269> 

[19.1.2021 | 20:41:32] [🥵Lidzia❤]: —battle <@!607951368413773824>  & <@581373577404874752> 

[19.1.2021 | 20:43:23] [🥵Lidzia❤]: —battle <@743410273645494322> & <@!763675745951678474> 

[19.1.2021 | 20:44:42] [🥵Lidzia❤]: —battle <@689129555549618269> & <@!607951368413773824> 

[19.1.2021 | 20:46:40] [🥵Lidzia❤]: —battle <@743410273645494322>  & <@689129555549618269> 

[19.1.2021 | 20:50:20] [👑 _PRYMEK_ 👑]: Kurde ale szkoda 

[21.1.2021 | 18:41:38] [❤_Nezuko Kamado_❤]: <@&782162414278803479> **Moi drodzy poszukujemy sędzi chętni pisać pv** 

[21.1.2021 | 20:3:33] [👑 _PRYMEK_ 👑]: <@&795694584894193683> 
Chcecie walki? 

[21.1.2021 | 20:3:43] [Rekin]: Tak 

[21.1.2021 | 20:3:56] [👑 _PRYMEK_ 👑]: No to lecimy 

[21.1.2021 | 20:4:8] [👑 _PRYMEK_ 👑]: **PIERWSZA WALKA** 

[21.1.2021 | 20:4:25] [👑 _PRYMEK_ 👑]: --battle <@772758787542351892> & <@790508375019356160> 

[21.1.2021 | 20:4:50] [👑 _PRYMEK_ 👑]: Uuuuu 

[21.1.2021 | 20:5:13] [👑 _PRYMEK_ 👑]: **DRUGA WALKA** 

[21.1.2021 | 20:5:26] [👑 _PRYMEK_ 👑]: --battle <@695590947630743635> & <@763675745951678474> 

[21.1.2021 | 20:5:47] [Rekin]: Nie 

[21.1.2021 | 20:5:53] [❤_Nezuko Kamado_❤]: ez 

[21.1.2021 | 20:5:55] [👑 _PRYMEK_ 👑]: **TRZECIA WALKA** 

[21.1.2021 | 20:6:6] [👑 _PRYMEK_ 👑]: --battle <@607951368413773824> 

[21.1.2021 | 20:6:7] [👑 _PRYMEK_ 👑]: Pls 

[21.1.2021 | 20:6:13] [👑 _PRYMEK_ 👑]: Aha 

[21.1.2021 | 20:6:26] [👑 _PRYMEK_ 👑]: 🇬 🇴 🅿️ 

[21.1.2021 | 20:6:38] [👑 _PRYMEK_ 👑]: 😫 

[21.1.2021 | 20:6:44] [👑 _PRYMEK_ 👑]: Nieeeeeee 

[21.1.2021 | 20:6:47] [👑 _PRYMEK_ 👑]: Najgorzej 

[21.1.2021 | 20:6:51] [❤_Nezuko Kamado_❤]: Ja zrobie wyniki i moneey 

[21.1.2021 | 20:6:57] [👑 _PRYMEK_ 👑]: Ok 

[21.1.2021 | 20:7:4] [👑 _PRYMEK_ 👑]: **CZWARTA WALKA** 

[21.1.2021 | 20:7:23] [👑 _PRYMEK_ 👑]: --battle <@581373577404874752> & <@564061194907025448> 

[21.1.2021 | 20:7:41] [Stasiek]: he he przepraszam za spóźnienie 

[21.1.2021 | 20:7:45] [👑 _PRYMEK_ 👑]: Spoko 

[21.1.2021 | 20:7:51] [👑 _PRYMEK_ 👑]: Ale niestety przegrałeś 

[21.1.2021 | 20:7:52] [👑 _PRYMEK_ 👑]: <@772758787542351892> 

[21.1.2021 | 20:7:57] [Stasiek]: wm 

[21.1.2021 | 20:7:59] [Free boy]: <:ff:797818002593546280> 

[21.1.2021 | 20:8:2] [Stasiek]: niestety 

[21.1.2021 | 20:8:14] [👑 _PRYMEK_ 👑]: **1/4** 

[21.1.2021 | 20:8:39] [👑 _PRYMEK_ 👑]: Kokichi sokolek maluszek 

[21.1.2021 | 20:8:40] [Free boy]: sprawdzisz podanie <@!689129555549618269> 😛 

[21.1.2021 | 20:8:47] [👑 _PRYMEK_ 👑]: Bart bruk 

[21.1.2021 | 20:12:3] [👑 _PRYMEK_ 👑]: --battle <@790508375019356160> & <@695590947630743635> 

[21.1.2021 | 20:12:24] [Stasiek]: gz 

[21.1.2021 | 20:12:39] [👑 _PRYMEK_ 👑]: Obstawiajcię 

[21.1.2021 | 20:12:42] [👑 _PRYMEK_ 👑]: Jak chcesz 

[21.1.2021 | 20:13:6] [👑 _PRYMEK_ 👑]: --battle <@607951368413773824> & <@581373577404874752> 

[21.1.2021 | 20:13:39] [👑 _PRYMEK_ 👑]: **FINAŁ** 

[21.1.2021 | 20:14:29] [Stasiek]: obstawiłem 

[21.1.2021 | 20:14:53] [👑 _PRYMEK_ 👑]: Ok 

[21.1.2021 | 20:15:5] [👑 _PRYMEK_ 👑]: --deathbattle <@695590947630743635> & <@581373577404874752> 

[21.1.2021 | 20:15:11] [👑 _PRYMEK_ 👑]: **LECIMY** 

[21.1.2021 | 20:15:16] [Stasiek]: dawać 

[21.1.2021 | 20:15:36] [Stasiek]: jej!!!!!!!! 

[21.1.2021 | 20:15:47] [Stasiek]: dawaj kase <@!689129555549618269> 

[21.1.2021 | 20:15:52] [❤_Nezuko Kamado_❤]: czy ja winner 

[21.1.2021 | 20:15:56] [Stasiek]: obstawiłem 15k 

[21.1.2021 | 20:16:23] [👑 _PRYMEK_ 👑]: Tak <@695590947630743635> 

[21.1.2021 | 20:16:30] [❤_Nezuko Kamado_❤]: fart 

[21.1.2021 | 20:16:35] [Stasiek]: nom 

[21.1.2021 | 20:16:37] [👑 _PRYMEK_ 👑]: Brawo 

[21.1.2021 | 20:16:38] [👑 _PRYMEK_ 👑]: <@695590947630743635> 

[21.1.2021 | 20:23:54] [👑 _PRYMEK_ 👑]: Tak widziałem 

[21.1.2021 | 20:24:3] [👑 _PRYMEK_ 👑]: Zastanawiam się jeszcze ale chyba zadasz 

[22.1.2021 | 18:47:22] [❤_Nezuko Kamado_❤]: <@&795694584894193683> **Chcecie już walki** 

[22.1.2021 | 20:41:50] [❤_Nezuko Kamado_❤]: --battle <@!790508375019356160> <@!581373577404874752> 

[22.1.2021 | 20:43:4] [❤_Nezuko Kamado_❤]: --battle <@!607951368413773824> <@!564061194907025448> 

[22.1.2021 | 20:44:2] [❤_Nezuko Kamado_❤]: --battle <@!763675745951678474> <@!772758787542351892> 

[22.1.2021 | 20:44:46] [❤_Nezuko Kamado_❤]: --battle <@!695590947630743635> <@!689129555549618269> 

[22.1.2021 | 20:45:23] [❤_Nezuko Kamado_❤]: **PÓŁFINAŁ** 

[22.1.2021 | 20:45:54] [SOKOLEK]: Jestem na czas walki 

[22.1.2021 | 20:46:18] [❤_Nezuko Kamado_❤]: --battle <@!790508375019356160> <@!607951368413773824> 

[22.1.2021 | 20:46:43] [❤_Nezuko Kamado_❤]: --battle <@!695590947630743635> <@!763675745951678474> 

[22.1.2021 | 20:47:7] [❤_Nezuko Kamado_❤]: **FINAŁ** 

[22.1.2021 | 20:47:22] [❤_Nezuko Kamado_❤]: --battle <@!695590947630743635> <@!607951368413773824> 

[22.1.2021 | 21:10:54] [Rekin]: <@695590947630743635> a ja ? 

[22.1.2021 | 21:10:58] [Rekin]: Nie dostałem 

[22.1.2021 | 21:11:8] [❤_Nezuko Kamado_❤]: już 

[25.1.2021 | 18:2:51] [Kokichi✔]: <@&795694584894193683> **rozpoczynamy dzisiejsze walki!!!** 

[25.1.2021 | 18:3:7] [Kokichi✔]: **pierwsza walka** 

[25.1.2021 | 18:3:47] [Kokichi✔]: --battle <@!695590947630743635> & <@!763675745951678474> 

[25.1.2021 | 18:4:35] [Kokichi✔]: **druga walka** 

[25.1.2021 | 18:5:17] [Kokichi✔]: --battle <@!607951368413773824> & <@!802480296129331240> 

[25.1.2021 | 18:5:51] [Kokichi✔]: no no 

