[18.1.2021 | 15:41:38] [👑 _PRYMEK_ 👑]: !bj 50000 

[18.1.2021 | 15:41:41] [👑 _PRYMEK_ 👑]: Hit 

[18.1.2021 | 15:41:43] [👑 _PRYMEK_ 👑]: Stand 

[18.1.2021 | 15:41:45] [👑 _PRYMEK_ 👑]: EZ 

[18.1.2021 | 15:41:51] [👑 _PRYMEK_ 👑]: !bj 50000 

[18.1.2021 | 15:41:54] [👑 _PRYMEK_ 👑]: Hit 

[18.1.2021 | 15:41:58] [👑 _PRYMEK_ 👑]: !bal 

[18.1.2021 | 15:42:9] [👑 _PRYMEK_ 👑]: !bj 50000 

[18.1.2021 | 15:42:17] [👑 _PRYMEK_ 👑]: !dep all 

[18.1.2021 | 15:42:25] [👑 _PRYMEK_ 👑]: !with all 

[18.1.2021 | 15:42:29] [👑 _PRYMEK_ 👑]: !buy Chi 

[18.1.2021 | 15:42:34] [👑 _PRYMEK_ 👑]: !cf 1000 

[18.1.2021 | 15:42:39] [👑 _PRYMEK_ 👑]: !cf 1000 

[18.1.2021 | 15:42:45] [👑 _PRYMEK_ 👑]: !cf 100 

[18.1.2021 | 15:42:53] [👑 _PRYMEK_ 👑]: !cf 50000 

[18.1.2021 | 15:42:57] [👑 _PRYMEK_ 👑]: Kurr 

[18.1.2021 | 15:43:1] [👑 _PRYMEK_ 👑]: !bal 

[18.1.2021 | 15:43:10] [👑 _PRYMEK_ 👑]: !buy Chi 

[18.1.2021 | 15:43:20] [👑 _PRYMEK_ 👑]: !cf 3047 

[18.1.2021 | 15:43:27] [👑 _PRYMEK_ 👑]: !dep all 

[18.1.2021 | 15:43:32] [👑 _PRYMEK_ 👑]: !top 

[18.1.2021 | 16:4:4] [bart.bruk]: !bal 

[18.1.2021 | 16:4:10] [bart.bruk]: !top -cash 

[18.1.2021 | 16:4:20] [bart.bruk]: <@!581373577404874752> 

[18.1.2021 | 16:4:23] [bart.bruk]: cho 

[18.1.2021 | 16:4:27] [bart.bruk]: plan c 

[18.1.2021 | 16:4:35] [Kokichi✔]: ok 

[18.1.2021 | 16:4:39] [👑 _PRYMEK_ 👑]: Eee 

[18.1.2021 | 16:4:43] [👑 _PRYMEK_ 👑]: Jaki plan c 

[18.1.2021 | 16:4:49] [bart.bruk]: !with all 

[18.1.2021 | 16:4:55] [bart.bruk]: !pay <@!581373577404874752> all 

[18.1.2021 | 16:4:58] [Kokichi✔]: !dep all 

[18.1.2021 | 16:5:1] [👑 _PRYMEK_ 👑]: <:pepeKnife:800709888866123837> 

[18.1.2021 | 16:5:16] [👑 _PRYMEK_ 👑]: <:pepeKnife:800709888866123837> <@790508375019356160> 

[18.1.2021 | 16:5:21] [bart.bruk]: !rob ironboypl 

[18.1.2021 | 16:5:25] [👑 _PRYMEK_ 👑]: Bartbruk dostałeś kasę 

[18.1.2021 | 16:5:25] [bart.bruk]: !dep all 

[18.1.2021 | 16:5:27] [bart.bruk]: ha 

[18.1.2021 | 16:5:31] [bart.bruk]: hahah 

[18.1.2021 | 16:5:41] [👑 _PRYMEK_ 👑]: <:pepeKnife:800709888866123837> <@581373577404874752> 

[18.1.2021 | 16:5:43] [👑 _PRYMEK_ 👑]: Też 

[18.1.2021 | 16:5:46] [👑 _PRYMEK_ 👑]: Nie żyjecie 

[18.1.2021 | 16:5:46] [Kokichi✔]: !with 39000 

[18.1.2021 | 16:5:52] [👑 _PRYMEK_ 👑]: I was obrabowałem 

[18.1.2021 | 16:5:53] [👑 _PRYMEK_ 👑]: Hahahaha 

[18.1.2021 | 16:5:55] [Kokichi✔]: !pay <@!790508375019356160> all 

[18.1.2021 | 16:5:57] [👑 _PRYMEK_ 👑]: Bo nie żyjecie 

[18.1.2021 | 16:6:1] [bart.bruk]: !dep all 

[18.1.2021 | 16:6:3] [bart.bruk]: lolllll 

[18.1.2021 | 16:6:5] [👑 _PRYMEK_ 👑]: <:PepeGun:796632740082483210> 

[18.1.2021 | 16:6:9] [bart.bruk]: <:pepeKnife:800709888866123837> 

[18.1.2021 | 16:6:15] [bart.bruk]: <:PepeGun:796632740082483210> 

[18.1.2021 | 16:6:18] [👑 _PRYMEK_ 👑]: <:PepeGun:796632740082483210> 

[18.1.2021 | 16:6:20] [bart.bruk]: <:emoji_12:782598534904938526> 

[18.1.2021 | 16:6:24] [👑 _PRYMEK_ 👑]: <:chceszbana:797845536895795231> 

[18.1.2021 | 16:6:31] [👑 _PRYMEK_ 👑]: <:keekw:761295533045448725> 

[18.1.2021 | 16:6:35] [Kokichi✔]: <:ello:800710143066112010> 

[18.1.2021 | 16:6:35] [👑 _PRYMEK_ 👑]: <:ff:797818002593546280> 

[18.1.2021 | 16:6:40] [Kokichi✔]: !bal 

[18.1.2021 | 16:6:59] [Kokichi✔]: !with 300000 

[18.1.2021 | 16:7:6] [Kokichi✔]: !buy 5 los 

[18.1.2021 | 16:7:9] [Kokichi✔]: hahaha 

[18.1.2021 | 16:7:12] [👑 _PRYMEK_ 👑]: Uuu 

[18.1.2021 | 16:7:42] [Kokichi✔]: !work 

[18.1.2021 | 16:7:48] [Kokichi✔]: !buy chic 

[18.1.2021 | 16:7:53] [Kokichi✔]: !with 1000 

[18.1.2021 | 16:7:56] [Kokichi✔]: !buy chic 

[18.1.2021 | 16:8:0] [Kokichi✔]: !cf all 

[18.1.2021 | 16:8:6] [Kokichi✔]: !cf 100 

[18.1.2021 | 16:8:10] [Kokichi✔]: !cf 100 

[18.1.2021 | 16:8:14] [👑 _PRYMEK_ 👑]: !bal <@581373577404874752> 

[18.1.2021 | 16:8:32] [Kokichi✔]: !dep all 

[18.1.2021 | 16:8:43] [👑 _PRYMEK_ 👑]: Co 

[18.1.2021 | 16:8:45] [👑 _PRYMEK_ 👑]: Jest 

[18.1.2021 | 16:8:47] [👑 _PRYMEK_ 👑]: Jakie losy 

[18.1.2021 | 16:8:51] [👑 _PRYMEK_ 👑]: Gówniane 

[18.1.2021 | 16:8:52] [👑 _PRYMEK_ 👑]: XD 

[18.1.2021 | 16:8:53] [👑 _PRYMEK_ 👑]: !bal 

[18.1.2021 | 16:8:59] [👑 _PRYMEK_ 👑]: !with 50000 

[18.1.2021 | 16:9:1] [👑 _PRYMEK_ 👑]: !bj all 

[18.1.2021 | 16:9:2] [Kokichi✔]: 300k straciłem na nie 

[18.1.2021 | 16:9:5] [👑 _PRYMEK_ 👑]: O nje 

[18.1.2021 | 16:9:13] [bart.bruk]: haha noob 

[18.1.2021 | 16:9:14] [👑 _PRYMEK_ 👑]: Ale słaba sytuacja 

[18.1.2021 | 16:9:18] [👑 _PRYMEK_ 👑]: Stand 

[18.1.2021 | 16:9:24] [👑 _PRYMEK_ 👑]: !bal 

[18.1.2021 | 16:9:25] [bart.bruk]: wuhuhuhuhuh 

[18.1.2021 | 16:9:30] [👑 _PRYMEK_ 👑]: !with 50000 

[18.1.2021 | 16:9:33] [👑 _PRYMEK_ 👑]: !bj all 

[18.1.2021 | 16:9:35] [👑 _PRYMEK_ 👑]: Hit 

[18.1.2021 | 16:9:41] [👑 _PRYMEK_ 👑]: !with 100000 

[18.1.2021 | 16:9:44] [👑 _PRYMEK_ 👑]: !bj all 

[18.1.2021 | 16:9:48] [👑 _PRYMEK_ 👑]: Stand 

[18.1.2021 | 16:9:50] [👑 _PRYMEK_ 👑]: EZ 

[18.1.2021 | 16:9:51] [👑 _PRYMEK_ 👑]: !bal 

[18.1.2021 | 16:9:55] [👑 _PRYMEK_ 👑]: !dep all 

[18.1.2021 | 16:9:57] [👑 _PRYMEK_ 👑]: !b 

[18.1.2021 | 16:9:58] [👑 _PRYMEK_ 👑]: !bal 

[18.1.2021 | 16:10:7] [👑 _PRYMEK_ 👑]: I milion powrócił 

[18.1.2021 | 16:10:9] [👑 _PRYMEK_ 👑]: EZ 

[18.1.2021 | 16:11:18] [bart.bruk]: !bal 

[18.1.2021 | 16:11:21] [bart.bruk]: !with all 

[18.1.2021 | 16:11:24] [bart.bruk]: !buy los 

[18.1.2021 | 16:11:26] [bart.bruk]: !bj all 

[18.1.2021 | 16:11:29] [bart.bruk]: ht 

[18.1.2021 | 16:11:30] [bart.bruk]: hit 

[18.1.2021 | 16:11:32] [bart.bruk]: hit 

[18.1.2021 | 16:11:33] [bart.bruk]: hit 

[18.1.2021 | 16:13:23] [bart.bruk]: !buy los 

[18.1.2021 | 16:14:19] [bart.bruk]: !buy los 

[18.1.2021 | 16:14:21] [bart.bruk]: !bj all 

[18.1.2021 | 16:14:23] [bart.bruk]: hit 

[18.1.2021 | 16:14:25] [bart.bruk]: hit 

[18.1.2021 | 16:14:27] [bart.bruk]: stand 

[18.1.2021 | 16:14:30] [bart.bruk]: !dep all 

[18.1.2021 | 16:14:45] [👑 _PRYMEK_ 👑]: Ej mam pomysł na role do kupienia 

[18.1.2021 | 16:15:34] [bart.bruk]: jaki? 

[18.1.2021 | 16:16:7] [👑 _PRYMEK_ 👑]: Jest to skomplikowane 

[18.1.2021 | 16:16:9] [👑 _PRYMEK_ 👑]: Trochev 

[18.1.2021 | 16:36:50] [Kokichi✔]: !with 700000 

[18.1.2021 | 16:36:52] [👑 _PRYMEK_ 👑]: !with 700000 

[18.1.2021 | 16:36:53] [Kokichi✔]: !buy bank 

[18.1.2021 | 16:36:56] [👑 _PRYMEK_ 👑]: !buy Bano 

[18.1.2021 | 16:36:59] [Kokichi✔]: !use bank 

[18.1.2021 | 16:37:2] [Kokichi✔]: woho 

[18.1.2021 | 16:37:3] [👑 _PRYMEK_ 👑]: !buy Bank 

