[25.1.2021 | 14:33:45] [Kokichi✔]: don't know 

[25.1.2021 | 14:34:4] [Kokichi✔]: yes 

[25.1.2021 | 14:34:8] [Kokichi✔]: no 

[25.1.2021 | 14:34:15] [Kokichi✔]: yey 

[25.1.2021 | 14:35:25] [Kokichi✔]: !akinator 

[25.1.2021 | 14:35:30] [Kokichi✔]: no 

[25.1.2021 | 14:35:34] [Kokichi✔]: yes 

[25.1.2021 | 14:35:37] [Kokichi✔]: no 

[25.1.2021 | 14:35:44] [Kokichi✔]: no 

[25.1.2021 | 14:35:46] [Kokichi✔]: no 

[25.1.2021 | 14:35:50] [Kokichi✔]: no 

[25.1.2021 | 14:35:53] [Kokichi✔]: yes 

[25.1.2021 | 14:35:57] [Kokichi✔]: no 

[25.1.2021 | 14:36:1] [Kokichi✔]: yes 

[25.1.2021 | 14:36:7] [Kokichi✔]: yes 

[25.1.2021 | 14:36:10] [Kokichi✔]: no 

[25.1.2021 | 14:36:14] [Kokichi✔]: yes 

[25.1.2021 | 14:36:19] [Kokichi✔]: no 

[25.1.2021 | 14:36:22] [Kokichi✔]: no 

[25.1.2021 | 14:36:25] [Kokichi✔]: ni 

[25.1.2021 | 14:36:26] [Kokichi✔]: no 

[25.1.2021 | 14:36:30] [Kokichi✔]: no 

[25.1.2021 | 14:36:33] [Kokichi✔]: no 

[25.1.2021 | 14:36:36] [Kokichi✔]: no 

[25.1.2021 | 14:36:41] [Kokichi✔]: yes 

[25.1.2021 | 14:36:48] [Kokichi✔]: no 

[25.1.2021 | 14:36:54] [Kokichi✔]: no 

[25.1.2021 | 14:36:59] [Kokichi✔]: szit 

[25.1.2021 | 14:37:2] [Kokichi✔]: yes 

[25.1.2021 | 14:37:11] [Kokichi✔]: yes 

[25.1.2021 | 14:37:47] [Kokichi✔]: hahahahahahahah 

[25.1.2021 | 14:40:58] [Kokichi✔]: !akinator 

[25.1.2021 | 14:41:37] [Kokichi✔]: cancel 

[25.1.2021 | 14:41:51] [Kokichi✔]: !akinator 

[25.1.2021 | 14:41:55] [Kokichi✔]: yes 

[25.1.2021 | 14:41:58] [Kokichi✔]: yes 

[25.1.2021 | 14:42:0] [Kokichi✔]: yes 

[25.1.2021 | 14:42:4] [Kokichi✔]: yes 

[25.1.2021 | 14:42:6] [Kokichi✔]: yes 

[25.1.2021 | 14:42:10] [Kokichi✔]: yes 

[25.1.2021 | 14:42:12] [Kokichi✔]: yes 

[25.1.2021 | 14:42:14] [Kokichi✔]: yes 

[25.1.2021 | 14:42:17] [Kokichi✔]: yes 

[25.1.2021 | 14:42:19] [Kokichi✔]: yes 

[25.1.2021 | 14:42:26] [Kokichi✔]: yes 

[25.1.2021 | 14:42:28] [Kokichi✔]: yes 

[25.1.2021 | 14:42:31] [Kokichi✔]: yes 

[25.1.2021 | 14:42:47] [Kokichi✔]: yes 

[25.1.2021 | 14:42:49] [Kokichi✔]: yes 

[25.1.2021 | 14:42:51] [Kokichi✔]: yes 

[25.1.2021 | 14:42:54] [Kokichi✔]: yes 

[25.1.2021 | 14:43:6] [Kokichi✔]: yes 

[25.1.2021 | 14:43:12] [Kokichi✔]: !akinator 

[25.1.2021 | 14:43:15] [Kokichi✔]: no 

[25.1.2021 | 14:43:17] [Kokichi✔]: no 

[25.1.2021 | 14:43:19] [Kokichi✔]: no 

[25.1.2021 | 14:43:21] [Kokichi✔]: no 

[25.1.2021 | 14:43:23] [Kokichi✔]: no 

[25.1.2021 | 14:43:25] [Kokichi✔]: no 

[25.1.2021 | 14:43:26] [Kokichi✔]: no 

[25.1.2021 | 14:43:28] [Kokichi✔]: no 

[25.1.2021 | 14:43:29] [Kokichi✔]: no 

[25.1.2021 | 14:43:33] [Kokichi✔]: no 

